state,district,year,JAN-RF,JAN-DEP,FEB-RF,FEB-DEP,MAR-RF,MAR-DEP,APR-RF,APR-DEP,MAY-RF,MAY-DEP,JUN-RF,JUN-DEP,JUL-RF,JUL-DEP,AUG-RF,AUG-DEP,SEP-RF,SEP-DEP,OCT-RF,OCT-DEP,NOV-RF,NOV-DEP,DEC-RF,DEC-DEP
andhra,karimnagar.txt,2010,8.4,-1,9.9,98,0.0,-100,2.3,-83,15.2,-32,80.3,-48,462.5,74,371.2,63,308.5,80,135.9,78,48.6,164
andhra,karimnagar.txt,2011,0.0,-100,22.4,300,1.0,-91,21.9,39,20.3,-15,73.4,-52,291.9,13,225.0,-1,94.1,-42,6.5,-92,0.4,-98
andhra,karimnagar.txt,2012,4.9,-55,0.0,-100,0.1,-99,11.7,-25,3.0,-88,89.6,-42,364.0,41,267.8,18,197.8,21,68.6,-20,39.0,88
orissa,jharsuguda.txt,2008,38.2,171,24.5,-1,8.3,-62,13.8,-22,15.6,-58,332.9,48,438.0,10,493.8,17,351.3,52,39.3,-36,16.3,176
orissa,jharsuguda.txt,2009,0.0,-100,0.0,-100,0.0,-100,1.7,-90,43.9,19,34.1,-85,535.2,34,271.4,-35,69.2,-70,135.9,121,13.4,127
orissa,jharsuguda.txt,2010,0.6,-96,1.8,-93,0.0,-100,0.0,-100,30.9,-16,198.1,-12,291.0,-27,311.0,-26,131.5,-43,55.9,-9,6.7,14
orissa,jharsuguda.txt,2011,0.4,-98,11.1,-48,0.2,-99,39.5,115,42.2,15,171.2,-24,261.8,-35,259.2,-38,497.2,108,4.3,-93,0.0,-100
orissa,jharsuguda.txt,2012,49.3,197,6.4,-70,0.0,-100,43.4,136,0.3,-99,196.8,-12,402.5,0,740.3,78,229.8,-4,54.3,-15,43.1,327
andhra,nellore.txt,2008,22.3,60,47.0,440,57.2,509,0.0,-100,2.1,-96,20.3,-53,80.6,-3,123.4,53,55.4,-49,262.6,12,422.2,67
andhra,nellore.txt,2009,0.1,-99,0.0,-100,0.1,-99,0.0,-100,28.5,-45,33.2,-24,40.3,-52,111.6,38,66.9,-39,49.6,-79,465.7,84
andhra,nellore.txt,2010,4.9,-65,0.0,-100,0.0,-100,17.8,21,108.3,109,112.5,158,116.3,39,203.7,152,109.4,0,244.7,4,343.9,36
andhra,nellore.txt,2011,9.4,-40,38.5,232,0.0,-100,33.3,119,6.8,-87,58.0,9,59.8,-34,161.9,70,71.9,-36,254.5,3,320.0,13
andhra,nellore.txt,2012,47.9,205,0.0,-100,0.0,-100,16.8,11,18.4,-64,30.9,-42,116.2,27,84.2,-11,80.0,-29,184.7,-26,141.3,-50
gujrat,surendranagar.txt,2008,0.0,-100,0.0,-100,0.0,-100,2.7,35,0.0,-100,37.2,-50,90.6,-53,164.6,11,426.6,395,8.1,-31,0.0,-100
gujrat,surendranagar.txt,2009,0.0,-100,0.0,-100,0.0,-100,0.0,-100,0.0,-100,32.1,-57,180.9,-6,65.9,-55,0.3,-100,0.2,-98,0.0,-100
gujrat,surendranagar.txt,2010,0.0,-100,0.0,-100,0.0,-100,0.0,-100,0.0,-100,51.1,-31,281.2,47,304.4,106,108.9,26,3.3,-72,54.1,495
gujrat,surendranagar.txt,2011,0.0,-100,0.0,-100,0.0,-100,0.0,-100,0.0,-100,6.5,-93,311.5,85,240.3,62,101.7,22,0.5,-97,0.0,-100
gujrat,surendranagar.txt,2012,0.0,-100,0.0,-100,0.0,-100,0.0,-100,0.0,-100,49.4,-50,26.8,-84,37.3,-75,217.1,161,0.1,-99,0.0,-100
meghalaya,jaintiahills.txt,2008
meghalaya,jaintiahills.txt,2009
meghalaya,jaintiahills.txt,2010
meghalaya,jaintiahills.txt,2011,75.0,-87,335.0,-64,371.0,-55,108.0,-79,32.0,-71
meghalaya,jaintiahills.txt,2012,15.0,-56,0.0,-100,6.0,-95,84.0,-70,87.5,-85,885.9,-33,978.3,-39,362.0,-61,617.1,-25,352.2,-32,15.5,-86
andhra,cuddapah.txt,2008,0.0,-100,33.7,1062,47.6,781,0.0,-100,26.7,-43,8.9,-85,45.1,-52,97.9,-4,107.1,-17,95.3,-31,185.0,106
andhra,cuddapah.txt,2009,0.1,-97,0.0,-100,3.2,-41,2.4,-85,50.0,6,48.0,-20,23.9,-74,146.2,44,150.7,17,18.7,-86,123.3,38
andhra,cuddapah.txt,2010,0.0,-100,2.3,-21,0.0,-100,13.9,-14,51.9,10,122.1,103,160.1,71,139.6,37,82.7,-36,74.9,-46,213.5,138
andhra,cuddapah.txt,2011,0.0,-100,1.8,-25,0.0,-100,26.8,55,34.1,-28,37.5,-46,105.1,4,197.6,82,51.8,-58,109.8,-20,84.5,9
andhra,cuddapah.txt,2012,1.5,-21,1.5,-38,0.3,-94,39.2,127,26.3,-45,41.0,-41,117.8,17,90.0,-17,38.1,-69,76.3,-44,78.7,2
assam,karbianglong.txt,2008,13.1,54,14.8,-8,50.2,65,47.0,-46,118.8,-7,164.1,-17,169.4,-25,266.5,59,241.2,88,100.3,-4,0.0,-100
assam,karbianglong.txt,2009,0.0,-100,0.0,-100,0.0,-100,17.8,-80,122.0,-4,79.1,-60,253.1,12,190.3,14,123.6,-3,84.1,-19,2.9,-84
assam,karbianglong.txt,2010,38.8,-4,132.2,43,135.5,3,147.7,-33,76.7,-63,201.5,1,103.7,-41,106.8,-12,0.3,-99
assam,karbianglong.txt,2011,7.6,-41,12.0,-50,43.4,-19,41.3,-61,55.1,-60,260.3,16,207.3,-13,144.5,-34,49.2,-73,23.3,-77,0.2,-99
assam,karbianglong.txt,2012,3.0,-77,0.0,-100,0.1,-100,107.9,2,64.2,-54,246.4,10,131.4,-45,159.5,-28,167.8,-8,142.0,42,8.2,-69
nagaland,phek.txt,2008,40.0,248,10.0,-58,43.6,-11,31.8,-62,189.0,16,353.6,7,169.6,-56,225.6,-38,143.0,-42,131.8,7,0.4,-99
nagaland,phek.txt,2009,1.4,-88,6.8,-72,9.6,-80,57.8,-31,164.4,1,157.2,-52,182.2,-52,273.8,-24,84.8,-66,109.4,-11,1.2,-97
nagaland,phek.txt,2010,0.0,-100,0.6,-98,0.0,-100,0.0,-100,109.5,-33,339.8,3,253.6,-34,288.0,-20,212.6,-14,193.0,56,5.8,-84
nagaland,phek.txt,2011,13.0,6,0.0,-100,50.2,-10,57.6,-36,254.0,57,420.3,36,255.2,-30,221.4,-41,100.7,-61,59.4,-54,0.0,-100
nagaland,phek.txt,2012,8.2,-33,0.0,-100,13.0,-77,113.0,26,78.9,-51,396.0,28,360.0,-1,336.4,-11,201.5,-22,80.9,-38,21.7,-32
assam,dibrugarh.txt,2008,35.7,-1,17.4,-69,180.1,74,190.3,-15,254.4,-19,487.4,17,517.9,-3,441.8,0,229.0,-31,82.3,-46,6.8,-75
assam,dibrugarh.txt,2009,20.2,-44,34.0,-40,36.3,-65,196.9,-12,153.4,-51,359.8,-14,416.6,-22,530.9,21,268.4,-19,134.9,-12,24.1,-10
assam,dibrugarh.txt,2010,1.3,-96,9.8,-83,143.1,38,436.7,96,334.5,7,333.7,-20,447.2,-16,397.3,-10,398.0,21,90.4,-41,35.4,33
assam,dibrugarh.txt,2011,14.5,-53,12.8,-76,168.9,41,145.5,-37,126.0,-57,297.2,-26,463.4,-11,280.6,-31,267.6,-18,64.9,-53,2.3,-90
assam,dibrugarh.txt,2012,15.6,-49,5.4,-90,40.7,-66,322.1,40,261.5,-11,421.3,5,474.3,-9,286.7,-29,404.5,24,130.9,-4,6.6,-73
up,pratapgarh.txt,2008,0.0,-100,25.1,144,197.9,136,436.5,39,210.7,-29,66.3,-67,15.7,-56,0.0,-100
up,pratapgarh.txt,2009,0.8,-95,0.0,-100,0.0,-100,0.0,-100,26.0,152,0.0,-100,319.6,2,89.3,-70,111.3,-44,82.7,130,12.0,90
